Natlanguage_query,SQL_query
D22 Find drugs by class and dose form,"SELECT C.concept_id drug_concept_id,
C.concept_name drug_concept_name,
C.concept_code drug_concept_code
FROM cdm.concept C,
        cdm.concept_ancestor CA,
        cdm.concept_relationship CRF,
        cdm.concept F
WHERE CA.ancestor_concept_id = 4318008
        AND C.concept_id = CA.descendant_concept_id
        AND C.domain_id = 'Drug'
        AND C.standard_concept = 'S'
        AND CRF.concept_id_1 = C.concept_id
        AND CRF.relationship_ID = 'RxNorm has dose form'
        AND CRF.concept_id_2 = F.concept_id
        AND CHARINDEX(LOWER(REPLACE(REPLACE(F.concept_name, ' ', ''), '-', '')), LOWER(REPLACE(REPLACE('Nasal spray' , ' ', ''), '-', ''))) > 0
        AND (getdate() >= CRF.valid_start_date) AND (getdate() <= CRF.valid_end_date)"
D24 Find the branded drugs in a list of drugs,"SELECT C.concept_id       AS drug_concept_id,
       C.concept_name     AS drug_name,
       C.concept_code     AS drug_concept_code,
       C.concept_class_id AS drug_concept_class,
       C.standard_concept AS drug_standard_concept,
       C.vocabulary_id    AS drug_vocabulary_id
FROM cdm.concept AS C
WHERE C.domain_id = 'Drug'
      AND C.concept_id IN (1516830, 19046168)
      AND C.concept_class_id = 'Branded Drug'
      AND (getdate() >= C.valid_start_date) AND (getdate() <= C.valid_end_date)"
D25 Find the generic drugs in a list of drugs,"SELECT C.concept_id       AS drug_concept_id,
       C.concept_name     AS drug_name,
       C.concept_code     AS drug_concept_code,
       C.concept_class_id AS drug_concept_class,
       C.standard_concept AS drug_standard_concept,
       C.vocabulary_id    AS drug_vocabulary_id
FROM cdm.concept AS C
WHERE C.domain_id = 'Drug'
      AND C.concept_id IN (1396833, 19060643)
      AND C.concept_class_id = 'Clinical Drug'
      AND (getdate() >= C.valid_start_date) AND (getdate() <= C.valid_end_date)"
D26 Find the brand name of a drug,"SELECT A.Concept_Id               drug_concept_id,
        A.Concept_Name            drug_name,
        A.Concept_Code            drug_concept_code,
        A.concept_class_id           drug_concept_class_id,
        D.Concept_Id              brand_concept_id,
        D.Concept_Name            brand_name,
        D.Concept_Code            brand_concept_code,
        D.concept_class_id           brand_concept_class_id
FROM   cdm.concept_relationship  CR003,
       cdm.concept               A,
       cdm.concept_relationship  CR007,
       cdm.concept_relationship  CR006,
       cdm.concept                 D
WHERE  CR003.relationship_ID  = 'Has tradename'
AND    CR003.concept_id_1     = A.concept_id
AND    lower(A.concept_class_id) = 'clinical drug'
AND    CR007.concept_id_2     = CR003.concept_id_2
AND    CR007.relationship_ID  = 'Constitutes'
AND    CR007.concept_id_1     = CR006.concept_id_1
AND    CR006.relationship_ID  = 'RxNorm has ing'
AND    CR006.concept_id_2     = D.concept_id
AND    lower(D.concept_class_id) = 'branded name'
AND    A.concept_Id           = 939355
AND    (getdate() >= CR006.VALID_START_DATE) AND (getdate() <= CR006.VALID_END_DATE)
UNION ALL
SELECT A.Concept_Id               drug_concept_id,
       A.Concept_Name             drug_name,
       A.Concept_Code             drug_concept_code,
       A.concept_class_id            drug_concept_class_id,
       D.Concept_Id               brand_concept_id,
       D.Concept_Name             brand_name,
       D.Concept_Code             brand_concept_code,
       D.concept_class_id            brand_concept_class_id
FROM   cdm.concept               A,
       cdm.concept_relationship  CR007,
       cdm.concept_relationship  CR006,
       cdm.concept               D
WHERE  lower(A.concept_class_id) = 'branded drug'
AND    CR007.concept_id_2     = A.concept_id
AND    CR007.relationship_ID  = 'Constitutes'
AND    CR007.concept_id_1     = CR006.concept_id_1
AND    CR006.relationship_ID  = 'RxNorm has ing'
AND    CR006.concept_id_2     = D.concept_id
AND    lower(D.concept_class_id) = 'branded name'
AND    A.concept_Id           = 939355
AND    (getdate() >= CR006.VALID_START_DATE) AND (getdate() <= CR006.VALID_END_DATE)"
D27 Find drugs of a brand,"SELECT  A.Concept_Id               drug_concept_id,
        A.Concept_Name             drug_name,
        A.Concept_Code             drug_concept_code,
        A.Concept_Class_id            drug_concept_class,
        D.Concept_Id               brand_concept_id,
        D.Concept_Name             brand_name,
        D.Concept_Code             brand_concept_code,
        D.Concept_Class_id            brand_concept_class
FROM   cdm.concept_relationship  CR003,
       cdm.concept               A,
       cdm.concept_relationship  CR007,
       cdm.concept_relationship  CR006,
       cdm.concept               D
WHERE  CR003.relationship_ID   = 'Constitutes'
AND    CR003.concept_id_1      = A.concept_id
AND     lower(A.concept_class_id) = 'clinical drug'
AND    CR007.concept_id_2      = CR003.concept_id_2
AND    CR007.relationship_id   = 'Has tradename'
AND    CR007.concept_id_1      = CR006.concept_id_1
AND    CR006.relationship_id   = 'RxNorm has ing'
AND    CR006.concept_id_2      = D.concept_id
AND    lower(D.concept_class_id)  = 'brand name'
AND    D.concept_id            = 19011505
AND    (getdate() >= CR006.valid_start_date) AND (getdate() <= CR006.valid_end_date)
AND    (getdate() >= CR007.valid_start_date) AND (getdate() <= CR007.valid_end_date)
UNION ALL
SELECT  A.Concept_Id               drug_concept_id,
        A.Concept_Name             drug_name,
        A.Concept_Code             drug_concept_code,
        A.Concept_Class_id            drug_concept_class,
        D.Concept_Id               brand_concept_id,
        D.Concept_Name             brand_name,
        D.Concept_Code             brand_concept_code,
        D.Concept_Class_id            brand_concept_class
FROM   cdm.concept              A,
       cdm.concept_relationship  CR007,
       cdm.concept_relationship  CR006,
       cdm.concept               D
WHERE  lower(A.concept_class_id) = 'branded drug'
AND    CR007.concept_id_2     = A.concept_id
AND    CR007.relationship_ID  = 'Has tradename'
AND    CR007.concept_id_1     = CR006.concept_id_1
AND    CR006.relationship_ID  = 'RxNorm has ing'
AND    CR006.concept_id_2     = D.concept_id
AND    lower(D.concept_class_id) = 'brand name'
AND    D.concept_id           = 19011505
AND    (getdate() >= CR006.valid_start_date) AND (getdate() <= CR006.valid_end_date)
AND    (getdate() >= CR007.valid_start_date) AND (getdate() <= CR007.valid_end_date)"
G01 Find concept by concept ID,"SELECT
  c.concept_id,
  c.concept_name,
  c.concept_code,
  c.concept_class_id,
  c.standard_concept,
  c.vocabulary_id
FROM cdm.concept AS c
WHERE c.concept_id = 192671
;"
G02 Find a concept by code from a source vocabulary,"SELECT
  c.concept_id,
  c.concept_name,
  c.concept_code,
  c.concept_class_id,
  c.vocabulary_id
FROM cdm.concept AS c
WHERE 
  c.concept_code = '74474003' AND
  c.vocabulary_id = 'SNOMED' AND
  c.invalid_reason IS NULL
;"
G04 Find synonyms for a given concept,"SELECT
  c.concept_id,
  s.concept_synonym_name
FROM cdm.concept AS c
  JOIN cdm.concept_synonym AS s ON c.concept_id = s.concept_id
WHERE c.concept_id = 192671
;"
G05 Translate a code from a source to a standard vocabulary,"SELECT DISTINCT
  c1.domain_id        AS source_domain_id,
  c2.concept_id       AS concept_id,
  c2.concept_name     AS concept_name,
  c2.concept_code     AS concept_code,
  c2.concept_class_id AS concept_class_id,
  c2.vocabulary_id    AS concept_vocabulary_id,
  c2.domain_id        AS concept_domain_id
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS c1 ON c1.concept_id = cr.concept_id_1
  JOIN cdm.concept AS c2 ON c2.concept_id = cr.concept_id_2
WHERE
  cr.relationship_id = 'Maps to' AND
  c1.concept_code IN ('070.0') AND
  c1.vocabulary_id = 'ICD9CM' AND
  cr.invalid_reason IS NULL
;"
G06 Find concepts and their descendants that are covered by a given source code,"WITH dm AS ( -- collect direct maps
    SELECT
      c1.concept_code     AS source_code,
      c1.vocabulary_id    AS source_vocabulary_id,
      c1.domain_id        AS source_domain_id,
      c2.concept_id       AS target_concept_id,
      c2.concept_name     AS target_concept_name,
      c2.concept_code     AS target_concept_code,
      c2.concept_class_id AS target_concept_class_id,
      c2.vocabulary_id    AS target_concept_vocab_id
    FROM cdm.concept_relationship AS cr
      JOIN cdm.concept AS c1 ON cr.concept_id_1 = c1.concept_id
      JOIN cdm.concept AS c2 ON cr.concept_id_2 = c2.concept_id
    WHERE
      cr.relationship_id = 'Maps to' AND
      c1.concept_code IN ('410.0') AND
      c1.vocabulary_id = 'ICD9CM' AND
      cr.invalid_reason IS NULL
)
SELECT
  dm.source_code,
  dm.source_vocabulary_id,
  dm.source_domain_id,
  dc.concept_id       AS target_concept_id,
  dc.concept_name     AS target_concept_name,
  dc.concept_code     AS target_concept_code,
  dc.concept_class_id AS target_concept_class_id,
  dc.vocabulary_id    AS target_concept_vocab_id
FROM cdm.concept_ancestor AS ca -- collect descendants which includes ancestor itself
  JOIN dm ON ca.ancestor_concept_id = dm.target_concept_id
  JOIN cdm.concept AS dc ON ca.descendant_concept_id = dc.concept_id
WHERE dc.standard_concept = 'S'
;"
G07 Find concepts that have a relationship with a given concept,"SELECT
  'Relates to'         AS relationship_polarity,
  cr.relationship_id   AS relationship_id,
  d.concept_id         AS concept_id,
  d.concept_name       AS concept_name,
  d.concept_code       AS concept_code,
  d.concept_class_id   AS concept_class_id,
  d.vocabulary_id      AS concept_vocab_id
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS a ON cr.concept_id_1 = a.concept_id
  JOIN cdm.concept AS d ON cr.concept_id_2 = d.concept_id
WHERE 
  a.concept_id = 192671 AND
  cr.invalid_reason IS NULL
  
UNION ALL

SELECT
  'Is related by'      AS relationship_polarity,
  cr.relationship_id   AS relationship_id,
  a.concept_id         AS concept_id,
  a.concept_name       AS concept_name,
  a.concept_code       AS concept_code,
  a.concept_class_id   AS concept_class_id,
  a.vocabulary_id      AS concept_vocab_id
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS a ON cr.concept_id_1 = a.concept_id
  JOIN cdm.concept AS d ON cr.concept_id_2 = d.concept_id
WHERE 
  d.concept_id = 192671 AND
  cr.invalid_reason IS NULL
;"
G08 Find ancestors for a given concept,"SELECT
  c.concept_id               AS ancestor_concept_id,
  c.concept_name             AS ancestor_concept_name,
  c.concept_code             AS ancestor_concept_code,
  c.concept_class_id         AS ancestor_concept_class_id,
  c.vocabulary_id            AS vocabulary_id,
  a.min_levels_of_separation AS min_separation,
  a.max_levels_of_separation AS max_separation
FROM cdm.concept_ancestor AS a
  JOIN cdm.concept AS c ON a.ancestor_concept_id = c.concept_id
WHERE 
  a.ancestor_concept_id != a.descendant_concept_id AND 
  a.descendant_concept_id = 192671 AND
  c.invalid_reason IS NULL
ORDER BY vocabulary_id, min_separation
;"
G09 Find descendants for a given concept,"SELECT
  c.concept_id               AS descendant_concept_id,
  c.concept_name             AS descendant_concept_name,
  c.concept_code             AS descendant_concept_code,
  c.concept_class_id         AS descendant_concept_class_id,
  c.vocabulary_id            AS vocabulary_id,
  a.min_levels_of_separation AS min_separation,
  a.max_levels_of_separation AS max_separation
FROM cdm.concept_ancestor AS a
  JOIN cdm.concept AS c ON a.descendant_concept_id = c.concept_id
WHERE 
  a.ancestor_concept_id != a.descendant_concept_id AND 
  a.ancestor_concept_id = 192671 AND 
  c.invalid_reason IS NULL
ORDER BY vocabulary_id, min_separation
;"
G10 Find parents for a given concept,"SELECT
  a.concept_id       AS parent_concept_id,
  a.concept_name     AS parent_concept_name,
  a.concept_code     AS parent_concept_code,
  a.concept_class_id AS parent_concept_class_id,
  a.vocabulary_id    AS parent_concept_vocab_id
FROM cdm.concept_ancestor ca
  JOIN cdm.concept a ON ca.ancestor_concept_id = a.concept_id
  JOIN cdm.concept d ON ca.descendant_concept_id = d.concept_id
WHERE 
  ca.min_levels_of_separation = 1 AND
  ca.descendant_concept_id = 192671 AND
  a.invalid_reason IS NULL
;"
G11 Find children for a given concept,"SELECT
  d.concept_id       AS child_concept_id,
  d.concept_name     AS child_concept_name,
  d.concept_code     AS child_concept_code,
  d.concept_class_id AS child_concept_class_id,
  d.vocabulary_id    AS child_concept_vocab_id
FROM cdm.concept_ancestor AS ca
  JOIN cdm.concept AS d ON ca.descendant_concept_id = d.concept_id
WHERE
  ca.min_levels_of_separation = 1 AND
  ca.ancestor_concept_id = 192671 AND
  d.invalid_reason IS NULL
;"
G12 List current vocabulary release number,"SELECT  
  vocabulary_version
FROM cdm.vocabulary
WHERE vocabulary_id = 'None'
;"
G13 List available vocabularies,"SELECT
  vocabulary_id,
  vocabulary_name,
  vocabulary_version
FROM cdm.vocabulary
;"
G14 Statistics about relationships between concepts,"SELECT
  cr.relationship_id  AS relationship_id,
  c1.vocabulary_id    AS from_vocabulary_id,
  c1.concept_class_id AS from_concept_class_id,
  c2.vocabulary_id    AS to_vocabulary_id,
  c2.concept_class_id AS to_concept_class_id,
  COUNT(*)            AS num_records
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS c1 ON cr.concept_id_1 = c1.concept_id
  JOIN cdm.concept AS c2 ON cr.concept_id_2 = c2.concept_id
GROUP BY
  cr.relationship_id,
  c1.vocabulary_id,
  c1.concept_class_id,
  c2.vocabulary_id,
  c2.concept_class_id
ORDER BY
  cr.relationship_id,
  c1.concept_class_id
;"
"G15 Statistic about Concepts, Vocabularies, Classes and Levels","SELECT
  vocabulary_id    AS vocabulary_id,
  concept_class_id AS concept_class_id,
  standard_concept AS standard_concept,
  COUNT(*)         AS num_records
FROM cdm.concept
GROUP BY
  vocabulary_id,
  concept_class_id,
  standard_concept
ORDER BY vocabulary_id, concept_class_id, standard_concept
;"
G16 Statistics about Condition Mapping of Source Vocabularies,"SELECT
  mapped.vocabulary_id                                                                                  AS vocabulary_id,
  CASE mapped.standard_concept
    WHEN NULL THEN 'Not mapped'
    ELSE mapped.standard_concept
  END                                                                                                   AS standard_concept,
  mapped.mapped_codes                                                                                   AS mapped_codes,
  sum(mapped.mapped_codes) OVER (PARTITION BY vocabulary_id)                                            AS total_mapped_codes,
  CAST(mapped.mapped_codes*100/sum(mapped.mapped_codes) OVER (PARTITION BY vocabulary_id) AS varchar)   AS pct_mapped_codes,
  mapped.mapped_concepts                                                                                AS mapped_concepts,
  ( SELECT 
      COUNT(*)
    FROM cdm.concept
    WHERE vocabulary_id='SNOMED' AND
         standard_concept=mapped.standard_concept AND
         lower(concept_class_id)='clinical finding' AND
         invalid_reason IS NULL
  )                                                                                                     AS standard_concepts,
  CAST(mapped.mapped_concepts*100/
         ( SELECT CASE COUNT(*) WHEN 0 THEN 1e16 ELSE COUNT(*) END
                  FROM cdm.concept
                  WHERE vocabulary_id='SNOMED' AND
                        standard_concept=mapped.standard_concept AND
                        lower(concept_class_id)='clinical finding' AND
                        invalid_reason IS NULL 
          ) AS VARCHAR)                                                                                 AS pct_mapped_concepts
FROM 
  ( SELECT
        c1.vocabulary_id              AS vocabulary_id,
        c2.standard_concept           AS standard_concept,
        COUNT(*)                      AS mapped_codes,
        COUNT(DISTINCT c2.concept_id) AS mapped_concepts
    FROM cdm.concept_relationship AS m
    JOIN cdm.concept AS c1 
      ON m.concept_id_1=c1.concept_id 
         AND m.relationship_id='Maps to' 
         AND m.invalid_reason IS NULL
    JOIN cdm.concept AS c2 
      ON c2.concept_id=m.concept_id_2
    WHERE c2.vocabulary_id='SNOMED' 
          AND LOWER(c2.domain_id)='condition'
    GROUP BY c1.vocabulary_id, c2.standard_concept
  ) AS mapped;"
G17 Statistics about Drugs Mapping of Source Vocabularies,"SELECT
  mapped.vocabulary_id                                                                                AS vocabulary_id,
  mapped.standard_concept                                                                             AS standard_concept,
  mapped.mapped_codes                                                                                 AS mapped_codes,
  sum(mapped.mapped_codes) OVER (PARTITION BY vocabulary_id)                                          AS total_mapped_codes,
  CAST(mapped.mapped_codes*100/sum(mapped.mapped_codes) OVER (PARTITION BY vocabulary_id) AS VARCHAR) AS pct_mapped_codes,
  mapped.mapped_concepts                                                                              AS mapped_codes,
  (SELECT 
    COUNT(*)
   FROM cdm.concept
   WHERE vocabulary_id='RxNorm'
         AND standard_concept=mapped.standard_concept
         AND invalid_reason IS NULL
  )                                                                                                   AS standard_concepts,
  ROUND( mapped.mapped_concepts*100/
         ( SELECT 
              CASE COUNT(*) 
                WHEN 0 THEN 1e16 
                ELSE COUNT(*) 
              END
           FROM cdm.concept
           WHERE vocabulary_id='RxNorm'
                 AND standard_concept=mapped.standard_concept
                 AND invalid_reason IS NULL ) ,1)                                                     AS pct_mapped_concepts
FROM 
( SELECT
    c1.vocabulary_id                    AS vocabulary_id,
    c2.standard_concept,
    COUNT(*)                            AS mapped_codes,
    COUNT(DISTINCT c2.concept_id)       AS mapped_concepts
  FROM cdm.concept_relationship AS m
      JOIN cdm.concept AS c1 
        ON m.concept_id_1=c1.concept_id 
           AND m.relationship_id='Maps to' 
           AND m.invalid_reason IS NULL
      JOIN cdm.concept AS c2 
        ON c2.concept_id=m.concept_id_2
  WHERE c2.vocabulary_id IN ('ICD9CM','RxNorm') 
        AND c2.domain_id='Drug'
  GROUP BY c1.vocabulary_id, c2.standard_concept
) AS mapped;"
OP01 Count number of people who have at least one observation period in the database that is longer than 365 days.,"SELECT COUNT(DISTINCT person_ID) AS NUM_persons
FROM cdm.observation_period op
WHERE DATEDIFF(day,op.observation_period_START_DATE,op.observation_period_END_DATE) >= 365;"
"OP02 Distribution of length of observation, in months, among first observation periods across the population","SELECT
  FLOOR(DATEDIFF(day, observation_period_start_date, observation_period_end_date)/30) AS num_months,
  COUNT(DISTINCT person_id) AS num_persons
FROM
  ( SELECT
      person_ID,
      observation_period_START_DATE,
      observation_period_END_DATE,
      rank() OVER (PARTITION BY person_ID ORDER BY observation_period_START_DATE ASC) AS OP_NUMBER
    FROM cdm.observation_period
  ) AS OP1
WHERE op_number = 1
GROUP BY FLOOR(DATEDIFF(day,observation_period_START_DATE, observation_period_END_DATE)/30)
ORDER BY FLOOR(DATEDIFF(day,observation_period_START_DATE, observation_period_END_DATE)/30) ASC
;"
OP03 Number of people continuously observed throughout a year.,"SELECT
  COUNT(DISTINCT person_ID) AS num_persons
FROM cdm.observation_period
WHERE observation_period_start_date <= '01-jan-2011'
AND observation_period_end_date >= '31-dec-2011';"
OP04 Number of people who have gap in observation (two or more observations),"SELECT COUNT_BIG(person_id) AS num_persons
FROM -- more than one observation period
  (SELECT
    person_id
   FROM cdm.observation_period
   GROUP BY person_id
   HAVING COUNT_BIG( person_id ) > 1
  ) AS t;"
"OP05 Average length of observation, in month.","SELECT 
  FLOOR(AVG(DATEDIFF(day, observation_period_start_date, observation_period_end_date)/30)) AS num_months
FROM cdm.observation_period;"
"OP06 Average length of observation, in days.","SELECT 
  AVG(DATEDIFF(day,observation_period_start_date,observation_period_end_date)) AS num_days
FROM cdm.observation_period;"
OP07 Distribution of age across all observation period records,"WITH age_distribution AS 
  ( SELECT 
      DISTINCT u.person_id, 
      YEAR(first_observation_date) - year_of_birth AS age
    FROM -- person, first observation date
    ( SELECT 
        person_id,
        MIN(observation_period_start_date) AS first_observation_date
      FROM cdm.observation_period
      GROUP BY person_id
    ) AS u
    INNER JOIN cdm.person 
    ON u.person_id = person.person_id
    WHERE year_of_birth IS NOT NULL
  ) 
SELECT 
  COUNT(*)                                                                      AS num_people,
  min( age )                                                                    AS min_age,
  max( age )                                                                    AS max_age,
  round( avg( age ), 2 )                                                        AS avg_age,
  round( STDEV( age ), 1 )                                                      AS stdev_age,
    ROUND(STDEV(age), 1)                                                        AS STDEV_value,
    MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE age END)      AS percentile_25,
    MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE age END)      AS median_age,
    MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE age END)      AS percentile_75

FROM 
 ( SELECT 
     age                                                     AS age,
     ROW_NUMBER() OVER (ORDER BY age)                        AS order_nr,
     (SELECT COUNT(*) FROM age_distribution ) AS population_size
   FROM age_distribution
 ) ordered_data;"
OP08 Distribution of observation period records per person,"WITH obser_person AS
  ( SELECT
      observation_period.person_id,
      COUNT(*) AS observation_periods
    FROM cdm.observation_period
    INNER JOIN cdm.person 
    ON observation_period.person_id = person.person_id
    GROUP BY observation_period.person_id
  )

SELECT 
  MIN( observation_periods )                                                              AS min_periods ,
  MAX( observation_periods )                                                              AS max_periods ,
  round( avg( observation_periods ), 2 )                                                  AS avg_periods ,
  round( STDEV( observation_periods ), 1 )                                                AS STDEV_periods ,
  MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE observation_periods END)  AS percentile_25,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE observation_periods END)  AS median,
  MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE observation_periods END)  AS percentile_75

FROM 
 ( SELECT 
     observation_periods                                                     AS observation_periods,
     ROW_NUMBER() OVER (ORDER BY observation_periods)                        AS order_nr,
     (SELECT COUNT(*) FROM obser_person )                                    AS population_size
   FROM obser_person
 ) ordered_data;"
OP09 Observation period records per person,"SELECT p.person_id, count(1) observation_period_count
FROM cdm.observation_period p
GROUP BY p.person_id
having count(1) = 3;"
OP10 Observation period records stratified by observation month,"WITH table_months AS (
SELECT top 12 row_number()over(order by person_id) as month from cdm.observation_period
)
SELECT
  month,
  SUM( observations )                                                     AS num_observations
FROM
  ( SELECT
      month                                                               AS month,
      min_count +
        CASE
          WHEN MONTH >= start_month AND MONTH <= start_month_remainder_check
            THEN 1
          WHEN MONTH >= 1 AND MONTH <= start_month + remainder - 12
            THEN 1
          ELSE 0
        END                                                                AS observations
  -- month | person_id | start_date |  end_date  | min_count | start_month | remainder     
  FROM table_months
  CROSS JOIN
    ( SELECT
        person_id,
        start_date,
        end_date,
        min_count,
        start_month,
        remainder,
        CASE
          -- Sign -1 for negative + 1 for postivie NULL for NULL 0 for 0
          WHEN SIGN(start_month + remainder - 12) = -1 THEN start_month + remainder
          ELSE 12
        END                                                                 AS start_month_remainder_check

      FROM
        ( SELECT
            person_id,
            observation_period_start_date                                                                AS start_date,
            observation_period_end_date                                                                  AS end_date,
            round(DATEDIFF(day, observation_period_start_date,observation_period_end_date ), 0 )            AS months /* number of complete years */ ,
            floor(round(DATEDIFF(day, observation_period_start_date,observation_period_end_date)/30,0)/12) AS min_count ,
            MONTH(observation_period_start_date ) start_month ,
            -- using n-m*floor(n/m) for n % m, since mod() is not standard on SQL Server and % is not standard on Oracle
            cast(round(DATEDIFF(day, observation_period_start_date,observation_period_end_date)/30,0) AS integer) - 12*floor(cast(round(DATEDIFF(day, observation_period_start_date,observation_period_end_date)/30,0) AS integer)/12) AS remainder
          FROM cdm.observation_period
        ) t_0
    ) t_1
  ) t_2
GROUP BY month
ORDER BY month;"
OP11 Distribution of observation period end dates,"WITH op AS
  (SELECT
      DATEDIFF(day,DATEFROMPARTS(1900,1,1),observation_period_end_date) diffs,
      CAST(CONVERT(VARCHAR, observation_period_end_date, 112) AS INTEGER) AS end_date,
      COUNT(*)OVER() AS population_size
   FROM cdm.observation_period
  )
SELECT
  CONVERT(DATE, CAST( min(end_date) AS VARCHAR ))                                                                    AS min_end_date,
  CONVERT(DATE, CAST( max(end_date) AS VARCHAR ))                                                                    AS max_end_date,
  DATEADD(day, ROUND(AVG(CAST(diffs AS BIGINT)),1), DATEFROMPARTS(1900,1,1)) AS avg_end_date,
  round( STDEV( end_date ), 1 )                                                                                      AS STDEV_days ,
  CONVERT(DATE, CAST(MIN(CASE WHEN order_nr < .25 * population_size THEN 9999999999 ELSE end_date END) AS VARCHAR))  AS percentile_25,
  CONVERT(DATE, CAST(MIN(CASE WHEN order_nr < .50 * population_size THEN 9999999999 ELSE end_date END) AS VARCHAR))  AS median,
  CONVERT(DATE, CAST(MIN(CASE WHEN order_nr < .75 * population_size THEN 9999999999 ELSE end_date END) AS VARCHAR))  AS percentile_75

FROM
 ( SELECT
     diffs,
     end_date                                                     AS end_date,
     ROW_NUMBER() OVER (ORDER BY end_date)                        AS order_nr,
     population_size
   FROM op
 ) ordered_data;"
OP12 Distribution of observation period length,"WITH w AS 
  (SELECT
    DATEDIFF(day, DATEADD(DAY,1,observation_period_start_date), observation_period_end_date)    AS period_length
  FROM cdm.observation_period
  ) 
SELECT 
  MIN( period_length )                                                              AS min_periods,
  MAX( period_length )                                                              AS max_periods,
  round( avg( period_length ) , 2 )                                                 AS avg_period,
  round( STDEV( period_length ) , 1 )                                               AS STDEV_period,
  MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE period_length END)  AS percentile_25,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE period_length END)  AS median,
  MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE period_length END)  AS percentile_75
FROM 
 ( SELECT 
     period_length                                                     AS period_length,
     ROW_NUMBER() OVER (ORDER BY period_length)                        AS order_nr,
     (SELECT COUNT(*) FROM w )                                    AS population_size
   FROM w
 ) ordered_data;"
OP13 Distribution of observation period start dates,"WITH op AS
  (SELECT
      DATEDIFF(day,DATEFROMPARTS(1900,1,1),observation_period_start_date) diffs,
      ROW_NUMBER() over (order by observation_period_start_date) AS order_nr,
      CAST(CONVERT(VARCHAR, observation_period_start_date, 112) AS INTEGER) AS start_date,
      observation_period_start_date AS org_start_date,
      COUNT(*)OVER() AS population_size
   FROM cdm.observation_period
  )

SELECT
  MIN(org_start_date) AS min_start_date,
  MAX(org_start_date) AS max_start_date,
  DATEADD(day, ROUND(AVG(CAST(diffs AS BIGINT)),1), DATEFROMPARTS(1900,1,1)) AS avg_start_date,
  ROUND(STDEV(start_date), 1)                                             AS STDEV_days,
  MIN(CASE WHEN order_nr < .25 * population_size THEN DATEFROMPARTS(9999,12,31) ELSE org_start_date END) AS percentile_25,
  MIN(CASE WHEN order_nr < .50 * population_size THEN DATEFROMPARTS(9999,12,31) ELSE org_start_date END) AS median,
  MIN(CASE WHEN order_nr < .75 * population_size THEN DATEFROMPARTS(9999,12,31) ELSE org_start_date END) AS percentile_75
FROM op
;"
"OP14 Distribution of age, stratified by gender","WITH t AS 
  ( SELECT 
      p.person_id, 
      ISNULL( concept_name, 'MISSING' ) AS gender,
      YEAR(first_observation_date ) - year_of_birth AS age
    FROM -- person, first observation period date
      ( SELECT 
          person_id,
          MIN( observation_period_start_date ) AS first_observation_date
        FROM cdm.observation_period
        GROUP BY person_id
      ) AS p
    INNER JOIN cdm.person 
    ON p.person_id = person.person_id
    LEFT OUTER JOIN cdm.concept 
    ON person.gender_concept_id = concept.concept_id
    WHERE year_of_birth IS NOT NULL
  )

SELECT
  ordered_data.gender,
  COUNT(*)                                                               AS num_people,
  MIN( age )                                                             AS min_age,
  MAX( age )                                                             AS max_age,
  ROUND( avg( age ), 2 )                                                 AS avg_age,
  ROUND( STDEV( age ), 1 )                                               AS STDEV_age,
  MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE age END) AS percentile_25,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE age END) AS median,
  MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE age END) AS percentile_75
FROM 
 ( SELECT 
    gender                                                               AS gender,
    age                                                                  AS age,
    ROW_NUMBER() OVER (PARTITION BY gender ORDER BY age)                 AS  order_nr
  FROM t
) AS ordered_data
INNER JOIN 
 ( SELECT gender,
    COUNT(*) AS population_size
   FROM t
   GROUP BY gender
) AS population_sizes
 ON ordered_data.gender = population_sizes.gender
GROUP BY ordered_data.gender;"
"OP15 Counts of age, stratified by gender","SELECT
  age,
  gender,
  COUNT(*) AS num_people
FROM
  ( SELECT
      w.person_id,
      ISNULL( concept_name, 'MISSING' )                     AS gender,
      YEAR(first_observation_date ) - year_of_birth         AS age
    FROM
      ( SELECT
          person_id,
          MIN( observation_period_start_date ) AS first_observation_date
        FROM cdm.observation_period
        GROUP BY person_id
      ) AS w
     INNER JOIN cdm.person
     ON w.person_id = person.person_id
     LEFT OUTER JOIN cdm.concept
     ON person.gender_concept_id = concept.concept_id
     WHERE YEAR(first_observation_date) - year_of_birth >= 0
  ) AS z
GROUP BY age, gender
ORDER BY age, gender;"
